OBJECTID_1,OBJECTID,JOIN_COUNT,TARGET_FID,ID,AREA,PERIMETER,PRECINCT_,CONGRESS,LEGIS,COUNCIL,BDED,ELECT,DASH_LABEL,DANDP,DISTRICT,PRECINCT,SHAPE_LENG,OBJECTID_12,FacType,Label,ObjectID_12_13,X,Y,District_P,Building_N,Location,x_lat,y_lat,city_state,street_add,POLL_X,SHAPE_Length,SHAPE_Area,POLL_Y
49,40,1,39,0,16150538.053,18070.0331524,233,8,18,5,4,13,13-07,13007,13,07,18070.0332972,147,ELEMENTARY SCHOOLS,13-07 Woodlin ES,128,1299042.37508324,487968.06256333,13-07,Woodlin ES, 2101 Luzerne Ave Silver Spring MD 20910,-77.0467716273999,39.0065373884001,Silver Spring MD 20910,2101 Luzerne Ave,-77.0467716273999,18070.0332971787,16150538.0589067,39.0065373884001
50,41,1,40,0,99526038.6936,57764.2784299,232,8,16,1,3,10,10-07,10007,10,07,57764.2794149,22,ELEMENTARY SCHOOLS,10-07 Carderock Springs ES,255,1263508.87490204,479545.812441528,10-07,Carderock Springs ES, 7401 Persimmon Tree Ln Bethesda MD 20817,-77.1717600545999,38.9832956271,BETHESDA MD 20817,7401 PERSIMMON TREE LN,-77.1717600545999,57764.2794148467,99526038.8464415,38.9832956271
51,74,1,73,0,13190421.334,17702.9189833,199,8,18,4,4,13,13-32,13032,13,32,17702.9192705,122,ELEMENTARY SCHOOLS,13-32 Glen Haven ES,141,1301832.83322039,497819.517376795,13-32,Glen Haven ES, 10900 Inwood Ave Silver Spring MD 20902,-77.0369658881559,39.0335899213207,Silver Spring MD 20902,10900 Inwood Ave,-77.0369658881559,17702.9192705062,13190421.180273,39.0335899213207
52,75,1,74,0,25514136.9537,22744.7449093,198,6,15,1,3,10,10-12,10012,10,12,22744.7449866,48,ELEMENTARY SCHOOLS,10-12 Bells Mill ES,118,1264400.12505053,497286.968629047,10-12,Bells Mill ES, 8225 Bells Mill Rd Potomac MD 20854,-77.1687400874,39.0320119149001,Potomac MD 20854,8225 Bells Mill Rd,-77.1687400874,22744.7449865107,25514136.9585732,39.0320119149001
53,76,1,75,0,12695538.8787,16222.8307971,197,3,20,5,5, 5,05-10,05010,05,10,16222.8309685,2,ELEMENTARY SCHOOLS,05-10 Cresthaven ES,44,1315564.01388681,495687.513913617,05-10,Cresthaven ES, 1234 Cresthaven Dr Silver Spring MD 20903,-76.9886276689068,39.0277414031548,Silver Spring MD 20903,1234 Cresthaven Dr,-76.9886276689068,16222.8309684859,12695539.0854791,39.0277414031548
54,77,1,76,0,16401569.3908,19776.3703864,196,8,18,4,4,13,13-40,13040,13,40,19776.3706749,113,ELEMENTARY SCHOOLS,13-40 Rock View ES,145,1290463.99987136,499984.249898896,13-40,Rock View ES, 3901 Denfeld Ave Kensington MD 20895,-77.0769950641,39.0395140953,Kensington MD 20895,3901 Denfeld Ave,-77.0769950641,19776.3706748841,16401569.6123268,39.0395140953
55,78,1,77,0,15188500.9848,18216.3761446,195,8,19,4,4,13,13-33,13033,13,33,18216.375672,120,ELEMENTARY SCHOOLS,13-33 Kemp Mill ES,142,1307491.62488246,501477.499945506,13-33,Kemp Mill ES, 411 Sisson St Silver Spring MD 20902,-77.0170471224999,39.0436381558001,Silver Spring MD 20902,411 Sisson St,-77.0170471224999,18216.3756719676,15188500.9734149,39.0436381558001
56,56,1,55,0,76028057.9046,37161.0358489,217,6,16,1,3,10,10-09,10009,10,09,37161.0351139,194,PRIVATE,10-09 Our Lady of Mercy School,114,1262830.82573824,489017.730860248,10-09,Our Lady of Mercy School, 9222 Kentsdale Dr Potomac MD 20854,-77.1742089530429,39.0092991169048,Potomac MD 20854,9222 Kentsdale Dr,-77.1742089530429,37161.0351138754,76028057.6020968,39.0092991169048
57,57,1,56,0,9356550.91757,15412.3356364,216,8,18,5,4,13,13-31,13031,13,31,15412.3354116,121,ELEMENTARY SCHOOLS,13-31 Oakland Terrace ES,140,1296029.37480746,496012.218696788,13-31,Oakland Terrace ES, 2720 Plyers Mill Rd Silver Spring MD 20902,-77.0573923387,39.0286194203,Silver Spring MD 20902,2720 Plyers Mill Rd,-77.0573923387,15412.3354115432,9356550.91276981,39.0286194203
58,58,1,57,0,22061092.1297,22217.2213776,215,8,20,5,4,13,13-23,13023,13,23,22217.2221276,119,ELEMENTARY SCHOOLS,13-23 Pine Crest ES,136,1310902.12495586,493345.374969691,13-23,Pine Crest ES, 201 Woodmoor Dr Silver Spring MD 20901,-77.0050375471999,39.0213110705,Silver Spring MD 20901,201 Woodmoor Dr,-77.0050375471999,22217.222127615,22061092.0223758,39.0213110705
59,59,1,58,0,21348958.3245,21292.9506861,214,8,16,1,3, 7,07-25,07025,07,25,21292.9508549,158,CENTER,07-25 Grosvenor School Center,206,1279923.30286188,494122.722551689,07-25,"Grosvenor, Alef Bet Montessori School", 5701 Grosvenor Ln Bethesda MD 20814,-77.1140797312119,39.0233899295369,BETHESDA MD 20814,5701 GROSVENOR LN,-77.1140797312119,21292.9508549388,21348958.4913157,39.0233899295369
60,60,1,59,0,11455222.0893,15594.1416815,213,8,18,4,4,13,13-53,13053,13,53,15594.1417161,127,MIDDLE SCHOOLS,13-53 Sligo MS,153,1302993.24999265,495338.406175479,13-53,Sligo MS, 1401 Dennis Ave Silver Spring MD 20902,-77.0328776196,39.0267787982001,Silver Spring MD 20902,1401 Dennis Ave,-77.0328776196,15594.1417161545,11455222.2272971,39.0267787982001
